,iEcHS_1320,iECSE_1348,iECBD_1354,iEKO11_1354,iEcSMS35_1347,iZ_1308,iECs_1301,iECSP_1301,iUTI89_1310,iECH74115_1262,iECDH10B_1368,iWFL_1372,iECO103_1326,iECP_1309,iECD_1391,iECO111_1330,iG2583_1286,iECED1_1282,iBWG_1329,iECW_1372,iJO1366,iLF82_1304,iEC042_1314,iECS88_1305,iECUMN_1333,iEcE24377_1341,iECB_1328,iETEC_1333,iECOK1_1307,ic_1306,iAPECO1_1312,iECDH1ME8569_1439,iECNA114_1301,iB21_1397,iE2348C_1286,iUMN146_1321,iY75_1357,iEcolC_1368,iUMNK88_1353,iECABU_c1320,iNRG857_1313,iEcDH1_1363,iECIAI39_1322,iECO26_1355,iECSF_1327,iEC55989_1330
all__D_e,,0.9409973984014445,0.9352748584288333,0.940997398401445,0.9409973984014512,,,,0.9409973984014324,,0.9936743962605629,,0.9409973984020649,0.9409973984014496,0.9352748584288321,,,0.9409830362255811,0.9409973984027736,,0.940895274296462,0.9409973984014544,,,,,0.9409973984014444,0.9409973983971467,0.94099739840145,0.9900338173515161,0.9409973984014567,0.9409973984014519,0.9409973984014485,0.9352748584288322,0.9409973984014538,0.9409973984014537,0.9409973984014494,0.9409973984014539,0.9409973984014489,0.940997398401453,0.9409973984014475,0.9409973984014458,0.9413446176893149,,0.9409973984014472,
alltn_e,0.17457504196422283,0.1745750419642236,0.1745750419642223,0.17457504196422302,0.1745750419642236,0.17457504196422194,0.1745750419642233,0.1745750419642239,0.17457504196422297,,0.18427658579295308,0.17457504196422235,0.17457504196422358,0.17457504196422383,0.1745750419642231,0.17457504196422366,0.1745750419642231,0.17457272786051464,0.17457504196423254,0.17457504196422316,0.17455598916529286,0.17457504196422363,0.1745750419642231,0.17457504196422355,0.17461196049559383,0.17457504196422263,0.1745750419642235,0.1745750419642227,0.1745750419642235,0.21637144092128816,0.1745750419642227,0.17457504196422322,0.17457504196422383,0.17457504196422363,0.07467751517204878,0.1745750419642204,0.17457504196422333,0.1745750419642251,0.17457504196422224,0.1745750419642236,0.17457504196422308,0.1745750419642228,,0.17457504196422294,0.1745750419642227,0.17457504196422297
arab__L_e,0.8061840175422843,0.8061840175416422,0.8008093479078253,0.8061840175416485,0.8061840175416429,0.8061840175416441,0.8061840175439965,0.8061840175416428,0.8061840175412084,0.8061840175416465,,0.8061840175410202,0.8061840175416436,0.8061840175416408,0.8008093479078298,0.8061840175410586,0.8061840175416434,0.8061717129840881,0.8061840175416419,0.8061840175418196,0.8060965243972519,0.8061840175416415,0.8061840175412304,0.8061840175416441,0.806359268247944,0.8061840175416425,0.8061840175416468,0.8061840175416406,0.8061840175416416,0.8538963133792183,0.8061840175416429,0.8061840175416503,0.8061840175416337,0.8008093479078288,0.8061840175416444,0.8061840175416434,0.8061840175416413,0.8061840175416382,0.8061840175416415,0.806184017541644,0.8061840175416426,0.8061840175416384,0.8064814919458625,0.8061840175416437,0.806184017541645,0.8061840175416437
ascb__L_e,0.8153850840289281,0.8153850840289267,0.8108942611968952,0.8153850840289316,0.8153850840289355,0.8153850840289302,0.8153850840289324,0.8153850840289317,0.8153850840289284,0.8153850840289303,0.8607380648316664,,0.8153850840289275,0.8153850840289328,0.8108942611966603,0.815385084028934,0.8153850840289742,0.8153721560088623,0.8153850840291165,,0.8152980997386688,0.8153850840289315,,0.8153850840289344,0.8155654707647714,,0.815385084028933,0.8153850840289252,0.8153850840289342,0.8629257039875246,0.8153850840289296,0.8153850840284503,0.8153850840289287,0.8108942611969062,0.8153850840289286,0.8153850840289333,0.8153850840289315,0.8153850840289272,0.815385084029277,0.8153850840289286,0.8153850840286792,0.8153850840289315,0.8156892192360847,0.8153850840289336,0.8153850840289268,0.8153850840289313
but_e,0.5640188455813613,,0.5640188455813684,,0.5640188455813656,,,,0.5640188455814338,,0.5967635484988859,,,0.6824251408537215,0.5640188455813675,,,0.5640098438027633,0.564018845581377,,0.5639574927406558,0.5640188455813773,0.564018845581368,0.6824251408537245,0.5641504256620833,,0.5640188455813806,0.5640188455813706,0.6824251408537229,0.6115123721221964,0.6824251408537203,0.5640188455813702,0.5640188455814886,0.5640188455813587,0.5640188455813709,0.6824251408537152,0.5640188455813696,0.5640188455813683,0.5640188455813759,0.5640188455813707,0.5640188455813702,0.564018845581368,0.6826917505025696,,0.5640188455813583,
butso3_e,0.26892080893668163,,0.26892080893668524,,0.2689208089366828,,,,0.26892080893668663,,0.2847269581499657,,,0.39748387813829994,0.2689208089366832,,,0.26891646665730806,0.2689208352462999,,0.2688912135759252,0.2689208089366587,0.2689208089366829,0.39748387813829733,0.2689842807420591,,0.2689208089367435,0.2689207850976664,0.3974838781382985,0.3136503866119348,0.3974838781382994,0.2689208089366791,0.2689208089366822,0.2689208089366824,0.268920808936683,0.39748387813829494,0.268920808936684,0.2689208089366801,0.2689208089366886,0.26892080893668496,0.2689208089366828,0.268920808936688,0.39763686499847084,,0.2689208089366829,
chol_e,0.09431826045188094,0.09431826045188069,0.09431826045188063,0.09431826045188016,0.0943182604518801,0.09431826045188081,0.09431826045188114,0.09431826045188088,0.09431826045188081,0.09431826045188049,0.10033530204789605,0.0943182604518809,0.09431826045188123,0.09431826045188088,0.09431826045188034,0.09431826045188087,0.09431826045188084,,,0.09431826045188164,,0.09431823855290249,0.09431826045188024,0.09431826045188027,0.09434156916352202,0.09431826045188058,0.0943182604518802,0.09431826045188024,0.09431826045188045,0.14083898222203667,0.09431826045188049,0.09431826045188077,0.09431826045188041,0.09431826045188063,0.09431826045188042,0.09431826045188055,0.09431826045188069,0.09431826045188065,0.09431826045188045,0.09431826045188028,0.09431826045187998,0.09431826045188113,0.0943555233942173,0.09431826045188058,0.09431826045188078,0.09431826045188019
csn_e,,,,,,,,,,,,,,,,,,0.23886540541669823,,,,,,,,,,,,0.036688497486802384,,,,,,,,,,,,,,,,
cys__D_e,0.3338983480504035,0.33389834805039065,0.3338983480503883,0.33389834805038743,0.3338983480503884,0.3338983480503845,0.33389834805038854,0.33389834805038954,0.33389832758417237,0.33389834805038654,0.35199415907657067,0.33389834805038776,0.3338983480503865,,0.333898348050389,0.33389834805038926,0.33389834805039104,0.33389317837001303,0.3338983480503891,0.33389834805038526,0.3338615884203613,0.33389834805038676,0.3338983480503872,0.33389834805038915,0.33397277926172275,0.3338983480503908,,0.3338983480503895,0.3338983480503874,0.3769009380737658,0.3338983480503933,0.33389834805038926,0.3338982992311588,0.33389834805038904,0.3338983480503888,0.3338983480503895,0.33389834805039,0.3338983480503909,0.3338983480503894,0.33389834805038854,0.33389834805038704,0.33389832758417,0.33402644012592264,0.33389834805038804,0.3338983480503892,0.3338983480503902
etha_e,0.34478194139259427,0.3447819413926543,0.3447819413927049,0.3447819413925922,0.34478194139259166,0.3447819413925921,0.3447819413926542,0.344781941392643,0.3447819413925919,0.34478194139259233,0.36417444649555947,0.3447819413925942,0.34478194139259133,0.3447819444599255,0.3447819413925922,0.3447819413925429,0.3447819413925935,0.34477660109950403,0.3447819413925741,0.34478194139260043,0.3447455438012388,0.34478194139239976,0.3447819413925928,0.34478194139262586,0.34486000052708227,0.3447819413925912,0.3447819413925933,0.3447819413925917,0.3447819413925928,0.38848855772871416,0.34478194139258717,0.34478194139258456,0.3447819413925919,0.3447819413925921,,0.34478194139259216,0.3447819413925927,0.3447819413925916,0.3447819413925913,0.344781941392592,0.3447819413925904,0.34478194139259327,,0.3447819413925925,0.3447819413924594,0.3447819413925911
